Rang,Code INSEE,Commune,URL Wikipédia,Département,Statut,Région,Population 2023,Population 2017,Population 2012,Population 2007,Population 1999
130,92036,Gennevilliers,https://fr.wikipedia.org/wiki/Gennevilliers,Hauts-de-Seine,—,Île-de-France,50979,46907,42919,41960,42513
131,44162,Saint-Herblain,https://fr.wikipedia.org/wiki/Saint-Herblain,Loire-Atlantique,—,Pays de la Loire,50973,46268,43287,43516,43726
132,06069,Grasse,https://fr.wikipedia.org/wiki/Grasse,Alpes-Maritimes,Sous-préfecture,Provence-Alpes-Côte d'Azur,50970,50396,51021,50257,43874
133,93010,Bondy,https://fr.wikipedia.org/wiki/Bondy,Seine-Saint-Denis,—,Île-de-France,50595,53353,52787,53159,46826
134,85194,Les Sables-d'Olonne,https://fr.wikipedia.org/wiki/Les_Sables-d'Olonne,Vendée,Sous-préfecture,Pays de la Loire,49603,44017,41738,41262,38500
135,53130,Laval,https://fr.wikipedia.org/wiki/Laval,Mayenne,Préfecture,Pays de la Loire,49400,49728,50658,50613,50947
136,27229,Évreux,https://fr.wikipedia.org/wiki/Évreux,Eure,Préfecture,Normandie,49360,47733,49634,51485,51198
137,69290,Saint-Priest,https://fr.wikipedia.org/wiki/Saint-Priest,Métropole de Lyon,—,Auvergne-Rhône-Alpes,49229,46207,42488,40917,40974
138,92073,Suresnes,https://fr.wikipedia.org/wiki/Suresnes,Hauts-de-Seine,—,Île-de-France,48956,48264,47263,44738,39706
139,13056,Martigues,https://fr.wikipedia.org/wiki/Martigues,Bouches-du-Rhône,—,Provence-Alpes-Côte d'Azur,48298,48188,47624,46247,43493
140,94080,Vincennes,https://fr.wikipedia.org/wiki/Vincennes,Val-de-Marne,—,Île-de-France,48193,49891,49831,47372,43595
141,13005,Aubagne,https://fr.wikipedia.org/wiki/Aubagne,Bouches-du-Rhône,—,Provence-Alpes-Côte d'Azur,47529,46209,45243,44804,42638
142,35288,Saint-Malo,https://fr.wikipedia.org/wiki/Saint-Malo,Ille-et-Vilaine,Sous-préfecture,Bretagne,47439,46097,44620,48563,50675
143,93046,Livry-Gargan,https://fr.wikipedia.org/wiki/Livry-Gargan,Seine-Saint-Denis,—,Île-de-France,47228,44437,42699,41893,37288
144,41018,Blois,https://fr.wikipedia.org/wiki/Blois,Loir-et-Cher,Préfecture,Centre-Val de Loire,47219,46086,45903,47854,49171
145,93064,Rosny-sous-Bois,https://fr.wikipedia.org/wiki/Rosny-sous-Bois,Seine-Saint-Denis,—,Île-de-France,47180,46207,42080,41283,39105
146,93027,La Courneuve,https://fr.wikipedia.org/wiki/La_Courneuve,Seine-Saint-Denis,—,Île-de-France,47167,43054,39859,37228,35310
147,19031,Brive-la-Gaillarde,https://fr.wikipedia.org/wiki/Brive-la-Gaillarde,Corrèze,Sous-préfecture,Nouvelle-Aquitaine,47095,46916,47411,50231,49141
148,2B033,Bastia,https://fr.wikipedia.org/wiki/Bastia,Haute-Corse,Préfecture,Corse,46867,45715,43479,43315,37884
149,33522,Talence,https://fr.wikipedia.org/wiki/Talence,Gironde,—,Nouvelle-Aquitaine,46338,42606,41358,40940,37210
150,92048,Meudon,https://fr.wikipedia.org/wiki/Meudon,Hauts-de-Seine,—,Île-de-France,46334,45352,45107,44873,43663
151,92049,Montrouge,https://fr.wikipedia.org/wiki/Montrouge,Hauts-de-Seine,—,Île-de-France,46324,50260,48909,46500,37733
152,30007,Alès,https://fr.wikipedia.org/wiki/Alès,Gard,Sous-préfecture,Occitanie,46125,40219,41031,40108,39346
153,11069,Carcassonne,https://fr.wikipedia.org/wiki/Carcassonne,Aude,Préfecture,Occitanie,46080,46031,47068,47620,43950
154,77288,Melun,https://fr.wikipedia.org/wiki/Melun,Seine-et-Marne,Préfecture,Île-de-France,45995,40032,40503,37835,35695
155,94022,Choisy-le-Roi,https://fr.wikipedia.org/wiki/Choisy-le-Roi,Val-de-Marne,—,Île-de-France,45946,45331,41507,37165,34336
156,78551,Saint-Germain-en-Laye,https://fr.wikipedia.org/wiki/Saint-Germain-en-Laye,Yvelines,Sous-préfecture,Île-de-France,45931,44753,43531,45690,42584
157,90010,Belfort,https://fr.wikipedia.org/wiki/Belfort,Territoire de Belfort,Préfecture,Bourgogne-Franche-Comté,45912,47656,50102,51327,50417
158,08105,Charleville-Mézières,https://fr.wikipedia.org/wiki/Charleville-Mézières,Ardennes,Préfecture,Grand Est,45560,46428,49759,51070,55490
